Date,Clicks,Impressions,CTR,Position
2024-05-07,14097,207833,6.78%,28.23
2024-05-06,10906,180478,6.04%,26.57
2024-05-05,9779,187288,5.22%,29.86
2024-05-04,9733,185967,5.23%,30.15
2024-05-03,10358,195984,5.29%,29.76
2024-05-02,10673,218708,4.88%,35.02
